AdvancedStats,,,,,,,,,,,,,,,,,
player_id,situation,season,I_F_xGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_savedShotsOnGoal,I_F_faceOffsWon,I_F_hits,I_F_takeaways
8482243,5on5,2021,0.01,0.01,0,0,1,0,0,1,0,0,0,1,0,0,1
8482243,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482243,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482241,all,2021,1.77,1.72,3,1,9,10,5,24,6,2,0,7,4,23,6
8482241,5on5,2021,1.61,1.57,3,1,8,8,5,21,6,2,0,6,3,23,6
8482241,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482241,5on4,2021,0.15,0.15,0,0,1,2,0,3,0,0,0,1,1,0,0
8482241,all,2020,0.76,0.8,2,0,8,2,1,11,4,2,0,6,5,7,3
8482241,5on5,2020,0.74,0.78,1,0,7,2,1,10,3,2,0,5,2,7,3
8482241,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482241,5on4,2020,0.02,0.02,1,0,1,0,0,1,1,0,0,1,3,0,0
8482240,all,2020,2.72,2.59,1,0,22,12,4,38,2,1,2,21,1,19,12
8482240,5on5,2020,1.39,1.36,0,0,17,10,3,30,1,1,2,16,1,19,10
8482240,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482240,5on4,2020,0.79,0.69,0,0,5,1,0,6,0,0,0,5,0,0,0
8482222,all,2021,11.44,10.98,16,13,103,33,30,166,39,10,8,93,0,53,40
8482222,5on5,2021,9.08,8.68,13,9,80,26,18,124,28,6,7,74,0,51,35
8482222,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482222,5on4,2021,1.37,1.35,2,3,17,4,9,30,7,2,1,15,0,1,2
8482222,all,2020,3.4,3.22,2,3,23,7,12,42,8,3,2,20,0,7,9
8482222,5on5,2020,2.28,2.17,2,2,19,7,7,33,5,1,2,18,0,7,8
8482222,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482222,5on4,2020,0.64,0.63,0,0,2,0,3,5,1,1,0,1,0,0,0
8482197,all,2021,0.76,0.62,0,0,2,4,1,7,0,0,0,2,0,15,0
8482197,5on5,2021,0.76,0.62,0,0,2,4,1,7,0,0,0,2,0,15,0
8482197,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482197,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482192,all,2021,0.07,0.07,0,0,4,1,1,6,0,0,1,4,0,3,2
8482192,5on5,2021,0.07,0.07,0,0,4,1,1,6,0,0,1,4,0,3,2
8482192,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482192,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482179,all,2020,0.1,0.11,1,0,2,0,0,2,1,0,0,2,0,2,1
8482179,5on5,2020,0.1,0.11,1,0,2,0,0,2,1,0,0,2,0,2,1
8482179,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482179,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482175,all,2021,0.18,0.18,0,0,3,1,2,6,0,0,0,3,0,1,2
8482175,5on5,2021,0.18,0.18,0,0,3,1,2,6,0,0,0,3,0,1,2
8482175,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482175,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482150,all,2021,0.21,0.21,0,0,0,2,0,2,0,0,0,0,0,0,0
8482150,5on5,2021,0.21,0.21,0,0,0,2,0,2,0,0,0,0,0,0,0
8482150,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482150,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482149,all,2021,2.88,2.87,5,0,21,13,14,48,7,2,1,19,0,17,7
8482149,5on5,2021,2.03,2.07,4,0,17,11,11,39,6,2,1,15,0,17,6
8482149,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482149,5on4,2021,0.85,0.8,1,0,4,2,3,9,1,0,0,4,0,0,1
8482148,all,2021,0.71,0.69,0,0,7,0,2,9,1,1,0,6,6,1,3
8482148,5on5,2021,0.71,0.69,0,0,7,0,2,9,1,1,0,6,6,1,3
8482148,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482148,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482142,all,2021,6.97,6.64,15,13,137,65,88,290,32,4,13,133,0,40,19
8482142,5on5,2021,5.16,5,7,4,112,52,63,227,14,3,11,109,0,37,17
8482142,4on5,2021,0.01,0.01,0,0,0,1,0,1,0,0,0,0,0,0,0
8482142,5on4,2021,1.4,1.22,6,6,18,10,20,48,12,0,2,18,0,1,1
8482142,all,2020,0.93,0.9,1,4,28,19,22,69,8,3,0,25,0,7,6
8482142,5on5,2020,0.5,0.49,0,3,18,14,18,50,5,2,0,16,0,7,4
8482142,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482142,5on4,2020,0.34,0.32,1,0,6,5,1,12,1,0,0,6,0,0,0
8482133,all,2021,1.38,1.37,4,1,13,8,4,25,5,0,1,13,40,3,9
8482133,5on5,2021,1.26,1.25,4,0,9,8,3,20,4,0,0,9,39,3,7
8482133,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482133,5on4,2021,0.03,0.03,0,1,3,0,0,3,1,0,1,3,0,0,1
8482125,all,2021,0.94,0.92,1,1,12,5,6,23,2,0,0,12,0,5,5
8482125,5on5,2021,0.77,0.75,1,0,8,4,3,15,1,0,0,8,0,5,4
8482125,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482125,5on4,2021,0.17,0.16,0,1,4,1,3,8,1,0,0,4,0,0,1
8482124,all,2021,5.56,5.31,4,1,40,23,14,77,10,5,3,35,124,20,15
8482124,5on5,2021,5.3,5.05,4,0,37,22,14,73,9,5,2,32,119,20,14
8482124,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8482124,5on4,2021,0.26,0.25,0,1,3,1,0,4,1,0,1,3,4,0,0
8482124,all,2020,0.64,0.64,0,1,9,2,1,12,1,0,0,9,26,3,3
8482124,5on5,2020,0.56,0.56,0,1,9,1,1,11,1,0,0,9,23,3,3
8482124,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8482124,5on4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482117,all,2021,1.39,1.32,0,1,15,4,4,23,1,0,0,15,16,0,6
8482117,5on5,2021,0.84,0.78,0,1,9,1,3,13,1,0,0,9,16,0,4
8482117,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482117,5on4,2021,0.46,0.46,0,0,5,3,1,9,0,0,0,5,0,0,1
8482116,all,2021,25.97,25.06,22,14,177,64,73,314,58,22,16,155,180,125,38
8482116,5on5,2021,13.21,12.81,9,5,111,39,41,191,25,11,9,100,169,115,33
8482116,4on5,2021,0.4,0.4,0,0,2,2,0,4,1,1,0,1,4,0,1
8482116,5on4,2021,7.99,7.57,9,8,47,17,21,85,24,7,6,40,1,5,2
8482116,all,2020,7.83,7.59,9,8,96,23,38,157,25,8,9,88,6,40,17
8482116,5on5,2020,5.01,4.81,7,5,69,17,23,109,17,5,7,64,6,38,17
8482116,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482116,5on4,2020,2.46,2.45,2,3,23,4,13,40,8,3,2,20,0,1,0
8482113,all,2021,15.84,15.37,14,12,125,46,52,223,44,18,9,107,334,26,59
8482113,5on5,2021,10.51,10.13,10,7,102,33,43,178,30,13,8,89,285,21,38
8482113,4on5,2021,1.5,1.5,2,1,11,3,4,18,4,1,0,10,23,5,20
8482113,5on4,2021,0.78,0.75,0,3,4,7,2,13,4,1,0,3,10,0,0
8482111,all,2021,0.51,0.51,0,1,13,2,3,18,2,1,1,12,0,5,2
8482111,5on5,2021,0.29,0.29,0,1,10,2,3,15,2,1,1,9,0,5,1
8482111,4on5,2021,0.04,0.04,0,0,1,0,0,1,0,0,0,1,0,0,0
8482111,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482110,all,2021,17.87,17.35,21,4,154,39,54,247,42,17,9,137,209,26,56
8482110,5on5,2021,13.94,13.61,16,2,130,32,48,210,32,14,8,116,191,24,53
8482110,4on5,2021,0.02,0.02,0,0,1,0,0,1,1,1,0,0,0,0,1
8482110,5on4,2021,2.49,2.39,1,2,16,5,6,27,5,2,1,14,15,1,1
8482109,all,2021,11.4,10.83,6,6,110,43,40,193,31,19,4,91,14,108,44
8482109,5on5,2021,8.84,8.61,4,5,90,33,34,157,27,18,3,72,11,105,41
8482109,4on5,2021,0.03,0.03,0,0,0,1,0,1,0,0,0,0,0,0,0
8482109,5on4,2021,1.27,1,1,1,13,7,4,24,2,0,1,13,2,0,3
8482109,all,2020,7.46,7.41,6,3,67,27,21,115,21,12,3,55,13,43,15
8482109,5on5,2020,6.75,6.75,6,3,63,22,19,104,20,11,3,52,13,43,14
8482109,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482109,5on4,2020,0.3,0.27,0,0,1,3,1,5,0,0,0,1,0,0,0
8482097,all,2021,0.31,0.31,0,1,6,0,3,9,2,1,0,5,0,0,1
8482097,5on5,2021,0.17,0.17,0,1,3,0,3,6,1,0,0,3,0,0,1
8482097,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482097,5on4,2021,0.14,0.14,0,0,3,0,0,3,1,1,0,2,0,0,0
8482093,all,2021,14.4,14.12,12,11,110,57,36,203,40,17,16,93,11,69,15
8482093,5on5,2021,12.09,11.87,10,8,90,45,30,165,32,14,14,76,11,66,14
8482093,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482093,5on4,2021,1.64,1.59,1,3,13,11,6,30,6,2,2,11,0,1,1
8482089,all,2021,0.74,0.77,1,0,8,2,1,11,2,1,0,7,1,10,0
8482089,5on5,2021,0.69,0.72,1,0,8,1,1,10,2,1,0,7,1,10,0
8482089,4on5,2021,0.05,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0
8482089,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482079,all,2021,0.69,0.68,0,0,5,2,0,7,0,0,1,5,7,1,1
8482079,5on5,2021,0.31,0.3,0,0,3,2,0,5,0,0,0,3,5,1,0
8482079,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482079,5on4,2021,0.38,0.38,0,0,2,0,0,2,0,0,1,2,0,0,1
8482078,all,2021,21.34,20.53,15,19,184,40,63,287,57,23,17,161,12,62,26
8482078,5on5,2021,14.52,14.11,8,10,139,30,44,213,34,16,14,123,8,58,24
8482078,4on5,2021,0.24,0.24,0,0,1,0,0,1,0,0,0,1,0,0,0
8482078,5on4,2021,3.39,3.18,3,8,30,5,11,46,14,3,2,27,2,1,0
8482073,all,2021,1.08,1.1,3,6,25,17,23,65,11,2,1,23,0,60,7
8482073,5on5,2021,1.08,1.1,3,5,25,17,23,65,10,2,1,23,0,58,7
8482073,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8482073,5on4,2021,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
8482072,all,2021,0.22,0.2,0,0,5,3,6,14,1,1,0,4,0,8,1
8482072,5on5,2021,0.1,0.09,0,0,4,1,4,9,0,0,0,4,0,8,1
8482072,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482072,5on4,2021,0.12,0.11,0,0,1,2,1,4,1,1,0,0,0,0,0
8482072,all,2020,0.19,0.19,0,0,5,2,0,7,0,0,0,5,0,2,0
8482072,5on5,2020,0.11,0.11,0,0,5,0,0,5,0,0,0,5,0,2,0
8482072,4on5,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482072,5on4,2020,0.05,0.05,0,0,0,1,0,1,0,0,0,0,0,0,0
8482070,all,2021,0.17,0.17,0,0,1,1,0,2,0,0,0,1,0,7,0
8482070,5on5,2021,0.17,0.17,0,0,1,1,0,2,0,0,0,1,0,7,0
8482070,4on5,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8482070,5on4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
