player_id,season,player_name,position,weight,height,team_abbrev
8475786,2021,Zach Hyman,L,209,"6' 1""",EDM
8475786,2021,Zach Hyman,L,209,"6' 1""",EDM
8475786,2021,Zach Hyman,L,209,"6' 1""",EDM
8475786,2021,Zach Hyman,L,209,"6' 1""",EDM
8475786,2021,Zach Hyman,L,209,"6' 1""",EDM
8481527,2021,Kaedan Korczak,D,202,"6' 3""",VGK
8481527,2021,Kaedan Korczak,D,202,"6' 3""",VGK
8481527,2021,Kaedan Korczak,D,202,"6' 3""",VGK
8481527,2021,Kaedan Korczak,D,202,"6' 3""",VGK
8481527,2021,Kaedan Korczak,D,202,"6' 3""",VGK
8471228,2021,Alexander Radulov,R,205,"6' 1""",DAL
8471228,2021,Alexander Radulov,R,205,"6' 1""",DAL
8471228,2021,Alexander Radulov,R,205,"6' 1""",DAL
8471228,2021,Alexander Radulov,R,205,"6' 1""",DAL
8471228,2021,Alexander Radulov,R,205,"6' 1""",DAL
8478067,2021,Oskar Lindblom,L,191,"6' 1""",PHI
8478067,2021,Oskar Lindblom,L,191,"6' 1""",PHI
8478067,2021,Oskar Lindblom,L,191,"6' 1""",PHI
8478067,2021,Oskar Lindblom,L,191,"6' 1""",PHI
8478067,2021,Oskar Lindblom,L,191,"6' 1""",PHI
8479729,2021,Kristians Rubins,D,227,"6' 5""",TOR
8479729,2021,Kristians Rubins,D,227,"6' 5""",TOR
8479729,2021,Kristians Rubins,D,227,"6' 5""",TOR
8479729,2021,Kristians Rubins,D,227,"6' 5""",TOR
8479729,2021,Kristians Rubins,D,227,"6' 5""",TOR
8483565,2021,Nick Blankenburg,D,175,"5' 9""",CBJ
8483565,2021,Nick Blankenburg,D,175,"5' 9""",CBJ
8483565,2021,Nick Blankenburg,D,175,"5' 9""",CBJ
8483565,2021,Nick Blankenburg,D,175,"5' 9""",CBJ
8483565,2021,Nick Blankenburg,D,175,"5' 9""",CBJ
8477003,2021,Riley Barber,R,190,"6' 0""",DET
8477003,2021,Riley Barber,R,190,"6' 0""",DET
8477003,2021,Riley Barber,R,190,"6' 0""",DET
8477003,2021,Riley Barber,R,190,"6' 0""",DET
8477003,2021,Riley Barber,R,190,"6' 0""",DET
8480748,2021,Kiefer Sherwood,L,194,"6' 0""",COL
8480748,2021,Kiefer Sherwood,L,194,"6' 0""",COL
8480748,2021,Kiefer Sherwood,L,194,"6' 0""",COL
8480748,2021,Kiefer Sherwood,L,194,"6' 0""",COL
8480748,2021,Kiefer Sherwood,L,194,"6' 0""",COL
8479314,2021,Matthew Tkachuk,L,202,"6' 2""",CGY
8479314,2021,Matthew Tkachuk,L,202,"6' 2""",CGY
8479314,2021,Matthew Tkachuk,L,202,"6' 2""",CGY
8479314,2021,Matthew Tkachuk,L,202,"6' 2""",CGY
8479314,2021,Matthew Tkachuk,L,202,"6' 2""",CGY
8479382,2021,Connor Bunnaman,C,207,"6' 1""",PHI
8479382,2021,Connor Bunnaman,C,207,"6' 1""",PHI
8479382,2021,Connor Bunnaman,C,207,"6' 1""",PHI
8479382,2021,Connor Bunnaman,C,207,"6' 1""",PHI
8479382,2021,Connor Bunnaman,C,207,"6' 1""",PHI
8476967,2021,Brett Kulak,D,187,"6' 2""",EDM
8476967,2021,Brett Kulak,D,187,"6' 2""",EDM
8476967,2021,Brett Kulak,D,187,"6' 2""",EDM
8476967,2021,Brett Kulak,D,187,"6' 2""",EDM
8476967,2021,Brett Kulak,D,187,"6' 2""",EDM
8479516,2021,Garrett Pilon,C,190,"6' 0""",WSH
8479516,2021,Garrett Pilon,C,190,"6' 0""",WSH
8479516,2021,Garrett Pilon,C,190,"6' 0""",WSH
8479516,2021,Garrett Pilon,C,190,"6' 0""",WSH
8479516,2021,Garrett Pilon,C,190,"6' 0""",WSH
8478104,2021,Sammy Blais,L,205,"6' 2""",NYR
8478104,2021,Sammy Blais,L,205,"6' 2""",NYR
8478104,2021,Sammy Blais,L,205,"6' 2""",NYR
8478104,2021,Sammy Blais,L,205,"6' 2""",NYR
8478104,2021,Sammy Blais,L,205,"6' 2""",NYR
8482093,2021,Seth Jarvis,C,175,"5' 10""",CAR
8482093,2021,Seth Jarvis,C,175,"5' 10""",CAR
8482093,2021,Seth Jarvis,C,175,"5' 10""",CAR
8482093,2021,Seth Jarvis,C,175,"5' 10""",CAR
8482093,2021,Seth Jarvis,C,175,"5' 10""",CAR
8482117,2021,Lukas Reichel,L,170,"6' 0""",CHI
8482117,2021,Lukas Reichel,L,170,"6' 0""",CHI
8482117,2021,Lukas Reichel,L,170,"6' 0""",CHI
8482117,2021,Lukas Reichel,L,170,"6' 0""",CHI
8482117,2021,Lukas Reichel,L,170,"6' 0""",CHI
