player_id,season,games_played,penality_minutes,ice_time,game_score,shifts
8476966,2021,2,0.0,865.0,-0.74,22.0
8478424,2021,77,15.0,43782.0,9.14,992.0
8481019,2021,2,0.0,296.0,-0.14,9.0
8477240,2021,26,0.0,16643.0,2.31,382.0
8471873,2021,74,12.0,94747.0,11.68,1859.0
8478020,2021,56,15.0,40857.0,25.53,886.0
8477444,2021,80,18.0,78040.0,68.48,1639.0
8480873,2021,51,4.0,51896.0,24.5,1087.0
8480870,2021,18,2.0,11874.0,1.35,275.0
8474697,2021,57,111.0,44869.0,5.47,1106.0
8477384,2021,52,37.0,44356.0,4.88,1040.0
8481521,2021,15,8.0,14935.0,5.45,335.0
8480830,2021,78,79.0,80776.0,79.62,1626.0
8477290,2021,76,16.0,66285.0,17.67,1657.0
8478401,2021,70,22.0,70788.0,41.56,1548.0
8480009,2021,75,16.0,60425.0,30.47,1311.0
8476905,2021,79,26.0,91504.0,56.88,1833.0
8470619,2021,66,27.0,42724.0,22.88,1033.0
8481077,2021,14,0.0,9475.0,0.33,234.0
8478585,2021,75,8.0,51439.0,26.2,1283.0
8480226,2021,33,6.0,22071.0,5.38,544.0
8478841,2021,27,8.0,21470.0,1.55,516.0
8474688,2021,10,10.0,8472.0,1.25,186.0
8475768,2021,37,14.0,40974.0,24.82,837.0
8480058,2021,4,2.0,4374.0,1.42,95.0
8476326,2021,8,7.0,4340.0,0.0,110.0
8480056,2021,9,2.0,7465.0,-0.4,174.0
8476456,2021,80,34.0,93324.0,109.37,1839.0
8479639,2021,59,18.0,50269.0,22.9,1091.0
8480054,2021,1,0.0,863.0,1.45,20.0
8478491,2021,6,2.0,5498.0,0.83,109.0
8476441,2021,24,25.0,28200.0,3.15,560.0
8475726,2021,74,14.0,72387.0,50.95,1687.0
8479447,2021,1,0.0,584.0,0.47,14.0
8470606,2021,64,20.0,56595.0,33.79,1235.0
8480865,2021,80,18.0,103012.0,47.2,1980.0
8481572,2021,12,10.0,10723.0,3.38,232.0
8474573,2021,74,6.0,74990.0,24.73,1600.0
8474683,2021,71,17.0,60976.0,21.1,1442.0
8481546,2021,30,6.0,34346.0,7.92,721.0
8477506,2021,56,2.0,71014.0,24.25,1470.0
8480073,2021,53,30.0,62854.0,15.25,1281.0
8476915,2021,27,13.0,22032.0,2.65,507.0
8476854,2021,71,46.0,95877.0,30.85,1815.0
8480029,2021,79,49.0,73241.0,27.71,1638.0
8478233,2021,82,28.0,77377.0,75.4,1804.0
8474056,2021,77,62.0,84528.0,26.15,1755.0
8482665,2021,10,0.0,10164.0,7.16,193.0
8480384,2021,8,2.0,3959.0,-0.58,92.0
8478468,2021,66,71.0,69979.0,5.33,1509.0
8478463,2021,75,12.0,75750.0,27.18,1577.0
8481532,2021,8,2.0,5400.0,1.48,135.0
8478414,2021,77,54.0,88501.0,84.59,1759.0
8478891,2021,68,20.0,60731.0,21.42,1354.0
8479944,2021,69,28.0,53975.0,16.35,1261.0
8470612,2021,56,29.0,63699.0,33.22,1286.0
8480913,2021,1,4.0,499.0,-0.1,12.0
8476368,2021,9,0.0,5327.0,0.05,119.0
8471677,2021,82,34.0,82251.0,15.67,1852.0
8481530,2021,1,0.0,561.0,-0.42,11.0
8475810,2021,60,14.0,67573.0,57.66,1395.0
8475343,2021,64,44.0,54769.0,27.49,1319.0
8480871,2021,52,12.0,53183.0,18.6,1116.0
8478970,2021,16,8.0,14197.0,7.62,327.0
8480083,2021,1,0.0,562.0,-0.55,10.0
8473533,2021,78,18.0,77838.0,56.22,1804.0
8471699,2021,74,20.0,56254.0,5.77,1536.0
8480860,2021,17,10.0,16060.0,1.5,362.0
8479511,2021,57,10.0,46141.0,14.43,1111.0
8474600,2021,80,46.0,122661.0,97.12,2206.0
8482192,2021,4,4.0,2961.0,0.6,66.0
8475462,2021,77,95.0,83234.0,34.4,1961.0
8476415,2021,5,0.0,2645.0,-1.27,68.0
8474145,2021,73,36.0,60170.0,5.58,1608.0
8474716,2021,65,10.0,82485.0,52.6,1531.0
8473449,2021,74,43.0,74489.0,38.44,1619.0
8481537,2021,5,2.0,4564.0,1.77,94.0
8474031,2021,82,36.0,105372.0,28.47,2066.0
8478882,2021,80,68.0,106978.0,22.8,2025.0
8479388,2021,52,36.0,46999.0,2.42,1067.0
8478519,2021,76,50.0,83504.0,52.69,1791.0
8483570,2021,5,0.0,2984.0,1.33,71.0
8478211,2021,76,42.0,56031.0,14.5,1166.0
8477955,2021,74,23.0,71653.0,54.79,1553.0
8481656,2021,33,0.0,23430.0,12.52,511.0
8482652,2021,1,0.0,527.0,-0.3,14.0
8470626,2021,73,6.0,56591.0,8.96,1377.0
8474602,2021,74,16.0,75125.0,27.05,1645.0
8479518,2021,3,0.0,1116.0,0.88,31.0
8479580,2021,63,12.0,45875.0,0.31,1094.0
8481239,2021,4,0.0,3293.0,0.78,72.0
8476826,2021,74,45.0,82066.0,45.66,1687.0
8479573,2021,18,2.0,8717.0,2.75,204.0
8478874,2021,58,17.0,39392.0,12.6,895.0
8480064,2021,66,16.0,73573.0,55.27,1609.0
8477464,2021,18,4.0,11110.0,3.79,245.0
8477962,2021,50,87.0,32235.0,21.35,758.0
8478838,2021,6,0.0,3829.0,0.45,96.0
